walletAddress,amount,points
0x1f870E6100fdD07fDaF2b5a9bAe53a4277D3bd52,461286818435874360147864,22025277.55968666
0x3ca6EAA74499CfD29b639A22eF065A84Fe396D98,403975091130599786993116,19288787.699421503
0x564d20C0e0114771cAc3d19a21B0e049A4EE6098,366614829716654261574149,17504929.816521704
0x7D26214B24e1f282762c6488aC3143Bd4c7A892a,365256293374949600547552,17440063.146144204
0xbe96E24e99bae4Cca3c93065ac33a4AbD0Ac1F07,338718226860483875498176,16172937.666902293
0xA1F667AFC5A6f37674cb12Ce4B4a1ab0A9DF8a51,198582565091592317912728,9481814.653814765
0x07cb4bdc5f4e591A26B9A2A93C2693083dc79297,152085933703074726508930,7261718.238757753
0xD929D394216AD0af07F232e09E3eD688b9028BaD,115282897438113592215814,5504466.445776663
0xf875516Cc50531AC68969Da70Aa5455E7D84EbA6,105624241725707266596146,5043290.092113361
0x46c8a20dc16f4F211900F66863218a23ef545c20,100854966185133205726743,4815569.261295016
0x77FC4099e31db38A5DF26a74Bf722d93e836bFf5,78498059444025260745548,3748083.5741500542
0x905824964C6B3cFF2Ff0CbB0ad59E5673ca2550F,15208593370307471559499,726171.8238757752
0xbCb1FfB6D8CAEC3cC48Ba269241005634a128f3D,11528289743811368680326,550446.6445776668
0x03315B9F05F4cB3580BaF00Fb62929Eca9C9F86e,10562424172570730661391,504329.00921133626
0x779f232D8eD0EFeDE1C2F781cc7F3B3CeaB7A6B9,10085496618513323483057,481556.9261295017
0x661CE695a27a2Af313676c8a043b3a6dbD8886dF,7849805944402536624693,374808.357415006
0x35B8A836b1fd65894456BAD58BB5245CC370cc93,3265809022575839662750,155934.11149935395
0xeEED2e4c442708C19A99b9F27090b861d1396f14,2458767123596399414964,117399.90432735818
0x8c2365EB2ED36E6100a480e52E855e19a325167d,2216793824742195738509,105846.29200570514
0x449D2a49375D985D7B7fB5A96cD77A6206ddbB47,1511001028836748446338,72146.47313345663
0xDa8155F0347047754b5ae32cdc7cb5af548dee71,1375394903745844430887,65671.62402753977
0xfbf14434935C2FbFF62B5e7505841cA7AB441672,1307286203214145416496,62419.606034641525
0x45FaBb434124AFAA123EEEe19CeA29b5E0e3dD0b,918801313584524109501,43870.436234277666
0xFf2F1e53003329fD8499cF3dE164bB03bC615F0d,848534431408063369418,40515.37053255636
0x18171f0dBcACfC96E6694C492eE153fd339EA513,740453407486628634615,35354.77531139536
0x2787075c78908F817F901630724d3465AfB13781,731824023596588403962,34942.74408103917
0x219895b55A5b88d6a32D48Ba28793CD8010d6Ee6,721234884106872414122,34437.13948307979
0xB3aF7E1E9faB73FDeA0C4bea31fF4362160788F1,706509946510922304697,33734.0609977687
0x2c7B7d05721886DF3A77FAbe33104d6C4F2C18Ed,703601679257464411421,33595.1986004161
0x82e3bcF4D67B324fabbD647753ac3DaBB498AfDE,700789722119353314156,33460.934767205246
0x6160D7945eef4658088939504e3D4ab9Fc64D30a,652393142009094390232,31150.120611529896
0xB71B91b004CAC3d8cbA99E185B94e87d3Ed0daf3,565756065028164243813,27013.41955873319
0xbb86d5181780EBF2dfb9fEc6a57b675155523527,545603826532848984243,26051.201197902174
0x35E4895E2eDD6156E692FE0d868B57Ef95109C34,520967103078721265774,24874.860035415997
0xf71f4da672Cb0e36F8814B9149071035ee6E6430,520091428940012860949,24833.048812580088
0x01a5a9CE3aA75ca2555ba73e02BB2523c724fEBD,491332636151994222473,23459.889276859078
0x1B921FfF55439b6891aE3EBEB0199189a3CC6496,422687797255666055207,20182.272034601414
0x605C8418BE0667A74c4f06a26246d0bbB61cb267,411312309269991658311,19639.12128706669
0x4DbbFfE9D2f370821253cDE30EDf731C7e185818,391973772017188139216,18715.75510019927
0xfDd0df22A26CAaB18e43F01246bfD71cf3735804,377931101831236446742,18045.253156151804
0x388f1038509951839D5f3871583E918f4a1d7862,327907533746011949916,15656.754444354954
0xDf9a709C649634AE724D5A26634c1425a28930C3,316496155109283790807,15111.890009110844
0xbD0962de6f4E518d34a40E589F65fc6B5369C947,309732301673667222985,14788.933134258794
0x69FD2e71FD7AdbAF2f62fA26672235953D93492F,305449961204293913397,14584.462220125924
0xE5C3d3467122CFc452721B3bb7f54F072925f062,292034145707483958176,13943.891000231284
0x8096744C07A3a2f3FF66cD2Fc204cB55bD7443ea,279602932847394811233,13350.332063135682
0x0687FDf1617C222fc7EAf72e340e177C616ebF75,275326254560044901609,13146.131503857265
0xD0Dfcd797119b3B2478a6633dfd1acC9cC111311,273099441956741941340,13039.806840543752
0xDb83B73314c87c015EE8B8Ac908cF0F197Cd9d98,239725352726388507563,11446.278586056094
0xd6830f433bAfCF94a9D971dE0b4E081874772a18,213608439865556789528,10199.262127375443
0xbDBD02989aa6619fB7EB89A55754069Ea35d9039,208503316375223903378,9955.505407353994
0x7DDeac3c2B0F17B74952F27441Db4Bb0dd910951,187717846343578202095,8963.051844063659
0xB272C7e994Fa10E45B47AF8bb8f22Ff8941e8B12,187111418310574606494,8934.096441019261
0xe3c5Ec83635D51c105c9C2184eb7B6B98e1C66a1,182686847726148101856,8722.834399032326
0x8dfb47D85BB09aa5a0774280207a78C811FE3c99,166668282793464555880,7957.988483975543
0x82aA832B6AC60DB4059f7115c747e132C36f6156,161503342265151218271,7711.375651852766
0xbD579422F0508f763b7AB522A8d2FBD22F5794A4,158379572512433043130,7562.223555832629
0xbDFf0Dda40938bEb464AfD85bF57640160259ee3,155776494504259432006,7437.933172175134
