walletAddress,amount,points
0x23508c1f2AAB90a01C5091b3Af5d314217317655,336386660472218296490610,21999187.57680568
0x6aB14b8b0F3fbe2810AF2E0e526Cf37e9d140B09,316291436149197339545935,20684989.776394874
0x2b783bC4F1243C4343e2f032e994cA91cdb19C17,303166411837012099567801,19826632.695919193
0x64cb9D3B9EA5117C0e5c16a04E918dAC30aad3eb,295429895742431166581810,19320676.043188848
0x60c40D79916F24235CC61A68cE2fa61549b01EC1,283493875268329051323235,18540078.04634274
0xb3E1f75bf16869BEd31990F11A0b82F2cF3482d6,251074160560432355850935,16419876.894357856
0xA6B3e2E4CeA18A426776EE077b520c5289F44903,180652259200431755743921,11814389.223238064
0xA1F667AFC5A6f37674cb12Ce4B4a1ab0A9DF8a51,178593056101508467691019,11679720.401447214
0x06B34883F1C8Ee21a93a2e0D703Ca618ee628580,117541195322577710612677,7687019.456340481
0x208E1612155c0466eDD4B3acd31751898F252400,114917027897925159777515,7515402.80743165
0xfb1f010F767c4dAFf7c9a56048071f24E1dEd8E4,77239343461050026235171,5051338.250820126
0xad09695F69eCe4E7A5cBC8b0001A8c24D3353A5E,76711552434337092563510,5016821.502201994
0x555B44738cC4025C2f68a16168EA0A1287487c99,18065225920043176301988,1181438.9223238064
0x8Ee9D4c9000199804944b357B9E70c0A0C237185,11754119532257769606076,768701.945634048
0x88df58f7880164C0F34303F3b6c83742499184a2,11491702789792514522560,751540.2807431649
0xe49EB94891bd3745E3c72e1d576c5AAaA1a93618,7723934346105002077820,505133.8250820126
0x6CFe3E98b93A33509C69FaA3a9620813b7E85C82,7671155243433706345968,501682.15022019914
0xDa8155F0347047754b5ae32cdc7cb5af548dee71,2144926305216012224264,140274.99206012327
0x5C9dE63470D0D6d8103f7c83F1Be4F55998706FC,1213333845070977304204,79350.2299215215
0xFf2F1e53003329fD8499cF3dE164bB03bC615F0d,898268119552015036788,58745.399798400555
0x9C7B84BE5D69BB41a718A4aF921E44730a277F90,832345945420213070065,54434.18759943724
0x8285d3E3EF1bD9D87B2758da614dd56a79bef401,771022790774825011795,50423.744438725844
0x64874f2C70C125d300a1949Ad57CBd65d5921122,735260961139461642233,48084.973938332885
0xA9C233652C2771Cd585cF52Df49f3558dc7fea96,329678267627612228807,21560.468656381727
0x98Fcf2Ecd0Ca94846e578107183B46706c9c8C89,316459444116313477480,20695.97724771076
0xD0Dfcd797119b3B2478a6633dfd1acC9cC111311,301677549058213855915,19729.263283288718
0xe9128dEeBec5044A02A229dC14449350f9e522aB,265351597509024770716,17353.600048264077
0x02e556fb08A6b4d63FC46CeC5Da43D22A31fafc7,261230064492922281261,17084.05791541626
0x1478989D81eE5ec3E4507b91Ac9d4CBe1F41D19F,233424604824886159804,15265.622184231994
0x33DC6F8eD0Dc691aF7d0c63A87721fE877e01b7A,231558832694335706037,15143.603460249491
0x8a44b47cc5a84E0082a7D578Db02958837c9F4e1,221378252873206918139,14477.808672753295
0xD67abE41c259F6dbf95723ae64e3AbA968EE5A1d,188222062615136678687,12309.443114512662
0xbD579422F0508f763b7AB522A8d2FBD22F5794A4,187111519192565452840,12236.815225430983
0xd82caB6EF8818c3D298657227352c6688cE9Ccc7,185157201841414575938,12109.005775638234
0x41C3c2e086fB0CC0D482735112c19b89c636dE60,154813698754064091645,10124.58577747622
0x54b92c745Db373A61af89A65Ac8725ACaA134412,144340888467469795842,9439.679551921192
0x7c937Ae25a6F616CdCECDbc25eA6C21B6BBDd478,110274771666354226340,7211.806150315224
0xea85aA413C032048ab41a63086B46f0d31ccA26B,102550226923198380291,6706.632406173404
0xA3ca787CACE6f342eaF082E23edbE3D9754B6eF8,99277299789212236192,6492.587836615556
0x7ADb0ee3C6E00710a311Abb4abE94D538EE0b95b,97929390442494963054,6404.43656892457
0x81d6823A1D6243bc607f390625aE3970aE86aF90,95155530689568593061,6223.03026425507
