walletAddress,amount,points
0xd44F8E222b416bBaBAeF07B63D046496771A87B4,113380644833385958918370,17803300.76724287
0xdc0Baff340CC4e78A6b446427b2FCD7c55c096C8,112540422778660038602538,17671367.0851445
0x81ae5C71829258C78c434D1A365b13c3c5c10C27,105726356994819798273966,16601406.133910213
0xfA201F9c207e850480E9Ad65fae8F44B9e331DC2,103604390669805216020904,16268209.8925437
0xbF5a6E3C32C389E7CBE5D7e491c8b9ba606ABF76,101963895354496053187177,16010615.383810569
0x11A0AF34870D8993F097c4f01904608e906AF37d,93686996701868716627359,14710956.907275591
0x5d552B0B73a02a183f845AD560c953806c49e92E,90078640444045900949277,14144364.153919982
0xa5332041bA18a455dee6C59c98593362630B4a22,87103934673174866475165,13677268.719679907
0x8a57F402967d57162AC03fc67E2D50fa58eaecdD,83518700021107666543685,13114306.576311512
0xFd8985Ee01A13351c73179245D8c54f4fD0d5c79,77298665531456732423976,12137621.843528338
0xAE7F94B227Bcc2001f97Ac89e11FB871dFAB4A8d,71658636321147059788927,11252010.930706898
0xB4230DE93E06f267fA1937Da07aF1417478e558f,71036835964816811610945,11154374.347521171
0x2b25917c6f7528ADc7Bf6505f538FBe33E728a37,70918107970837154425681,11135731.393166682
0x15468A60889549b0F7A542C99FbAE163AeAFCaf6,70914419043907459126785,11135152.1490132
0x99909D82a6f30b08b09bC2600D57bF419d9De480,63659840237973687180784,9996020.786587983
0xA1F667AFC5A6f37674cb12Ce4B4a1ab0A9DF8a51,63449644398102740524337,9963015.331708584
0x3a536358b7Ce88bA4714bf3c23a8498960443b76,62940681504245956602972,9883096.757493256
0x815B0233C4E24575282BD183E48ED29A13B09353,61305312225338500866201,9626307.151289452
0x72b941f7E2470C9755e1f6977704d8f636556290,60884241698628589801956,9560189.647351686
0x514ee4e472f24b9Eae0c4963EDD746f77C601D48,59818520706734569102991,9392847.58133561
0x99CbF1DDafA3D9022D19EeD6a3Fa67acB466ED12,57316651073486944369506,8999998.011405986
0x52f3013C551319bbaE32cb99A0daB93152566D45,57022792163646146946121,8953855.580634687
0xbA0B09FdDFb77f905022572CB706Cb0f29b0cE7B,56939575941813687677495,8940788.769908976
0x2AB811c269baA44Fd15AF1fa2225d61Bc34ca886,53059753549772132828366,8331569.75311379
0x5aCa2686491dd19bF398a9eCAFE2B7F8Bea6F016,51053238333294735639356,8016501.921690788
0x0C8af4a6B215181a4a98e16c544be17348252ad6,50579233077179727843031,7942072.479590944
0xBCBB10CD936740e79F51a3904f905E7d0e31BECC,50261843390386107785162,7892235.189789749
0x58778Df1D8a737ac917d0E68b80F84f8E8FA22Cd,49955761137476045405492,7844173.420375042
0xFd514c99ACdc83180A523e9bbcB8358053918E7A,49346060089322767453268,7748436.699576468
0x24bE5C886f58DDf79875629359dd0198D8913837,49039873465013624809217,7700358.541514367
0xFb83D4e5ec8C14187b4f768ceA4b726864b887d8,48982396504596712475177,7691333.371345394
0x58d6D87085b4E2aB3dA0bB41bBb5CDd3d9CDB5A8,45950933348351172753610,7215325.756335229
0x2427f65e2C2751f87731CD30147839D28fA3B698,44203798215383954811841,6940986.407684132
0xD2A51d54f4D5075BAC9Ea5372F43B7Cc0830E7AD,43397008140962541801855,6814302.295311532
0xfd892D48C285b966cf7dB8707e955750B2428E9E,41448223959954528254457,6508299.5295315785
0xcF0d47D55cAC2cBF5B3E66856aB1AFDFAcfBb913,39514290372499381192029,6204628.63956678
0x7c2B46aD0D25bA10c86E3c9c05B2B1b0388dC699,35358388446528588247020,5552058.952245375
0x5229A3C2b857551c3E0E7A39D25b258239Cd3749,33914684535949272685684,5325365.101838557
0x89aa35dB8De79a7FABFD308c9dB7225Ae1298789,29094562346217579033691,4568497.955732981
0xeA512e625432015B61410f99050759DC3dF7bB72,27037772897211754752789,4245535.9437480215
0x798E7Eaf19658727213DF7cBde4a34dA875Ad93f,26881875479029418784194,4221056.557263535
0xc705C112277E17d70a391fd6D654D57300204e8d,23716746213690319564193,3724060.3692383124
0xeDAA0cE9618C53A28055b0F410f7d05b45CB9284,21259809515616736462107,3338266.2765502767
0x49937132D91354335e19386e4d10124a2B1B8557,17710750849481024488341,2780984.5732520213
0x4aE5B71Cec1884006D28C03648Cc010607Ec7334,15245587113670433609514,2393898.651368
0x8076724f331d07aAeD5a5714CEf81A80b85Ef39E,14859195858174003660679,2333226.5697658504
0x2ab5AD3eAE9EdeaA824AFE52aDC5252Ab2048d1C,14597741249112597870408,2292172.340016652
0x72eD5C736C89A753Bb4b17292E7C74a0AD161305,8840759643076793508953,1388197.2815368269
0x924f4CbF947E54D10DCCBF17cF982F08611cb9C9,8289644791990915109636,1301659.905906317
0x77B3bbF22e630adC56B182953e0Eb6730775cBB5,7071677689305713101930,1110411.7904490742
0x7D51a6F5c80A402fbfc774b0f62096Fb745C8D2B,6782936907189860903600,1065073.0203677122
0x1534e3e02cAFf1CA4420E379D95147F4429AdF5D,5818912469243511623063,913699.5911465957
0x9Ba0f614108c04b74a6B60C78f686F1B09eB0C51,1296895230982303473866,203641.59945209709
0x54b92c745Db373A61af89A65Ac8725ACaA134412,1120216649878880616598,175899.10492724905
0x766244cb75D011c1f9aFBdb3284970a81F2E88cd,861778198475326803418,135318.47948699642
0xDa8155F0347047754b5ae32cdc7cb5af548dee71,646725155705148381458,101550.33495955545
0xe15485BAB481F0e6d2Fb2D8A1D63dD5A8F53f092,423610334908451989122,66516.31071220493
0x06936a04dE401421B44e01b753B2DE549A9d54ac,374538060954702643812,58810.8645682447
0x3C1EDA2e325CB641e8850f3e30e302d88400F8a9,354543938285722560977,55671.339475790955
0x5D6438eaEDb6C78E1cE32191680eA167b07d39A0,304440474240498076597,47803.97339061227
0xd3D0116eeB66175fAA66954E37fdB2891A2E1f8E,287275080728566933885,45108.62213440736
0x02649f4A3acE8DedaC9E42B90D3f688a6A560927,277215903442962371628,43529.1059925667
0x7DB459D85b24457Cc027C462044344F2ba85F2ba,274242983223382793767,43062.290929872615
0x9E93f001547d7584437E4c4a8E74F360D2e32242,259891388676079372999,40808.76913529618
0x5fCB45A0a5DeBAb4Cf5D2d5043B35990aBF61168,253933356368007594028,39873.22461341216
