address,amount,points
0x134f9C7138428e8370Fbc4e1D72C11b7D748970A,208089678836458362638950,105902.50595954825
0xCCC5a04D37f855687f193B572F080c203260aD21,156119994948420790024102,79453.71816554038
0x063560D831876C9BCebdB1Ac48D81815e45A0Ab9,128950130616635957267135,65626.23409518276
0xd1327c2e2b63B8f0E51D3e1218F07A332230e4ab,106035578360281870118342,53964.3942554658
0xA1F667AFC5A6f37674cb12Ce4B4a1ab0A9DF8a51,70128770292869754484855,35690.441522154026
0x8AAD391034918e31312A4146Cf46C34863e5d5c2,65169163867662602569908,33166.362711809445
0x0df5283bA7e4eF17530bC4bd801d0aA7E97C8e9f,64490714962226622446906,32821.08158276483
0x96e0B627454cE3b8C55C6d36b5FCBb13849Dc297,61229355290522158611566,31161.28680581985
0x243275183b0b822965800411c33AaFE5DCD98187,58335925675370599492453,29688.741657134487
0xD097d6a2d0cF344E96171804c8cCdC821CF7DA20,54906548193917864409741,27943.438039973746
0xAd03292e813D75BaeE0096FdA87d2F6Bfed9ec16,54579506681301034404896,27776.997705534362
0xc5C408EC4C61a905Ce45d41162b83eF2E06fCca0,53682467439327941974625,27320.469999786565
0x377e225b850bC865eAe98B66F7864FC2ca587854,48505676871882737032138,24685.86026332257
0x50C57c918D52042bbD94b92C34E27DBD7c4b37cE,37292605634961968462449,18979.22286480886
0x984061A332F0D28e3Ae8875Ac953e2aB38a4608a,34239645851193192356732,17425.488467684176
0xCB88F06f0e5F6B8170d9F8a1fB8704E7512e1F55,32757895423205722181592,16671.385311737486
0x337844866Ce1f51bE8EB9f3a4882b5cB891Edba5,30932061121951715904288,15742.168499779858
0xe541c0C2804109866Ba41ce50f728f58d65256A4,27726552797641896177083,14110.797994924598
0x55078d42c77873910228B3D2F83cED132606dEf8,27407634842988911259454,13948.491960420173
0x69ABb23A2efB8A4C0C5d6A21CeBa7FF9908Ef8A1,25561251144256562838564,13008.817000316596
0x8fA82a64D17dB66819D5FEf3da130a3Ab800a5a7,24842219162850811699172,12642.8820384208
0x534F8b4fBEBD08a8F3844e2Dc64acC732d58f378,22844944878070429695072,11626.414748791112
0x3b7d646966a4f9c2814Bd0b414818aB0cbd1242B,21135932582816712965723,10756.65183793915
0x7c937Ae25a6F616CdCECDbc25eA6C21B6BBDd478,20872824443867117224727,10622.748938915436
0x35c9832D0baf4F3d16118DbD29Ff08BF36ec7803,20465340804853531153640,10415.369415094987
0xC8E3D3c9a6215D0f0F940FE8E50ee4F865c864C4,20325423139022546820343,10344.161503571624
0x3e03f3eeB9ea9A9a5960e362fe87F08EBa0ab8d4,19849567895053267420735,10101.985807534606
0xDA33d535c399382763a8f7C8025a92d283F639Ee,18728425411799482390052,9531.405857687116
0x1f58fB68c7bd7415FAcf13fb4eAB31210A1a780F,18412371380910535663133,9370.557352
0x3A99df5d589aA06b1873425f2c44556CAd907c4d,18329556835753341147210,9328.410774086638
0xE8210e4Cf2f4d9478837099426B5cee9DE2Bfa47,17758613902695939032128,9037.842362867199
0x2a2993079E478F441DbFF1E06BBF04acee7112d3,17148332439632064051693,8727.253502138943
0x013051b194640E617a1B72c9A01bb8477dF82b39,17066781908456960081821,8685.750215373035
0xe6129de8f3f2001062495aea4B685DDeD6fF0e4c,16528078041735065198736,8411.589143209603
0x8E71cD61EAC2532A31ee13218Bd16EAfE90EAd15,16475554562454963161144,8384.85851385509
0xDB98685260d0515ffC584A75B06a5cB3D7276ba8,16227330301511936340830,8258.53042578839
0x2E4C1778f8F4d28f61F4676D9F4a75B37C88c26c,16165887607311648025643,8227.260565
0x9cd183a69571F9216628C79f67c9C9ffa1F4739d,16142882981847447808832,8215.552884451201
0xb7C13c89679a8E887fc76F6eab9D2dC734971A36,16021185393544516045949,8153.617666699999
0x85551a893E2aa4ac44dBe38Adafa916a6F5f48EC,15696940926308581765625,7988.600824846965
0x091e5780009f074C6eDe9E25409299c51385aE4D,15095675979237521460163,7682.600714718947
0xd0f80949e44c027B9FF11D0765F7D06f5d5D2593,14940281048991595525877,7603.5160017313965
0x6F5733661F737349AA19345bF890ad5F01e32883,14626844192374617705354,7443.9994473235765
0xD4A1acB89b00c8706FE98485beCd8c33e8a774dC,13230134887582864394062,6733.1760355064325
0x0477c6970231781EBeA3c33a1c2ce3e313c75C56,11821817586497136289836,6016.4449981714115
0x541CeeDEd157F6590BeFa1b6A34ab87bEda66AA7,11579762862930490882718,5893.256755734842
0xc0e03982FB8615ddf8b8faBd27e5A35541E12F33,11459032676492259270162,5831.813875144784
0x654d85e23Dc8c43137Fa647fD2dF3cFD75b87107,10721882062648783175973,5456.657847646673
0x69510CFE2F49d81cC5C2Db5713E4dFe899B11f84,10455482639235269743949,5321.079924304101
0x413B66067ac0DD7233E4997307eb8EfEd22B3C77,10310078391319879301591,5247.079741702515
0xb6AF7E6a6A81879Dc2AA8048987c55b0F99AA830,9966627978389109557611,5072.288470912022
0x84c522E92bd2b4Cf16d6768255b5e35E1a6Cf0EE,9873633911350725611555,5024.961257021346
0x95235e5eD33cE1027a9C5Eb6fD9e33330DfFf77F,9673832782688918086933,4923.277020027251
0xB2fbab9c1D801f49169865f0057bF07f86deF59D,9596855755810825939989,4884.101314181156
0x76F93d04A337D6Fc3dE0ADBb3eD52eB8c2C0D1B5,9399021264332104692585,4783.417952421079
0x4A7890ed80B5403bCb1dDB71B439e77337f28480,9308916780228928473662,4737.56132599888
0x30cE132bB163B1189A8eaa07A3891ea78B91c677,9273301483914350683335,4719.435731537418
0xf7Ea93Bf0C74138Eda5c90e7cf6844c4bC786D3A,9206213598377718881238,4685.292879101952
0xAA29888E77bfEf637A2dA16eC86c642d678299c8,9162205955093302691239,4662.896190658523
0x055266B934a859dd4fBF6E5Fb3f92bC3B387E2e3,9030009044010264915414,4595.6175815411125
0x6a27d11E78b97d15DE5edbE5cf1fA3619466fe3e,8966979901127420816920,4563.540333803028
0xf573E8654E388d7EDdf616aba26093dB18759A1a,8865365783850696971058,4511.826141534368
0x3963720c3bC91a5C0bbfbB87e41126Bc1C394A85,8774892814293076298782,4465.781982826794
0x4C3b5545f28b31981A07961f8995b8afE4FaA668,8752081106200859721866,4454.1724831837
0xeBF8bc1D9e033edBbB0964862Eda766eC08eA31b,8544338649698442168301,4348.446688128342
0x63AE5a6F23c1159546e301c77cf121721D44ef2f,8532904630098328198073,4342.627604089127
0x66Af0e128594FD97735b219441bCbf0b001146fC,8493337585901770580676,4322.490857484213
0x333503b866F791eE2A3A23a69DDCC1DcDE4E2a7d,8449535742991667575552,4300.19890645731
0xA2d6047cF57C86928dFe37Bfa54D580F0a1c5df9,8374488713855176683865,4262.005429035396
0x1833d13fa61D7a9f61a7224AFdd8c723aE2d797d,8194704066342254009214,4170.508124550457
0x2f8798D7B59342456380f1FDdC2b4692028F3F38,7910031456245269509964,4025.6304787398276
0xD4cabE952eFBa2Bb936Ff832Abd17385f2FAfc23,7868650416319620489958,4004.5705402948142
0x329bD506637cC2d6CEb8F970389Ee1D179cE8924,7763745123592625532183,3951.181379187309
0xAfB94327783f5B57500C6fB237eA3F4c42227Db1,7556548344111685764801,3845.733294032521
0xfeA31835f6671eF2BC83a602337EE80a740ed26A,7523857905880061480275,3829.096239523125
0x53D5943775928e795847f82277Cc2B9A019aa931,7510145754878100888163,3822.117752356807
0x738Fe7512F169B1928EeA4C89B5D7fe797Fc51c8,7404265791338001690747,3768.2325547223077
0x78A536554b98317301316f22c2458cf7B968caeE,7157828476625966686697,3642.8138922692915
0x801Fc77dff0F832042Fb9Fe0f0fE976973454635,6930181962304394801322,3526.9583799997095
0xf01057a583E1E5939EBfa7805380f1F412E88d7c,6762563388831990778272,3441.6527220000003
0x6253b429A7074e7929549ECC1B08FF070F2988A0,6681688821707256465743,3400.493451752703
0x9E121698D68cf4C2B34202CCee11Ea62769a8BC7,6509478655228979732783,3312.851006996499
0x0b4Bf8Ef782E742792eb93D2b34DFF655FaBe804,6501471927970034812461,3308.7761653897546
0x2A9feFBaB48a364C5E9D7C802279Ff92924613fB,6490154589762540126685,3303.016463689665
0x872fEBc6626342B5177E1C5100e6cDcd21DC7a71,6454596686428281827830,3284.920078079282
0x0766Caa1FEEE73719081A202dFE564786c89D84E,6388188406305594071455,3251.123095351544
0x0c55E7D45F53B6999732a75917Df6eB711E58674,6320965616833481362846,3216.911586628505
0x478f13BcBe532C8D0FeE9744Ebc827f138ee26A2,6192015866034929786110,3151.285545833092
0xF0c5ae2950D2674f91e976DfD8e6d51D6Bd095E2,6172324585233887773938,3141.264116639468
0xeFb3F06F874AB6671fE4949dc02Ed42E88Aa0404,6128678271371758455643,3119.051318581717
0xB537063Fc838837e3470A646D29db910a27D4BEb,6110452895586017802998,3109.7759283818923
0x4223EABf513a6095967E85B063E3a43cf1981FDB,6067853127448682243994,3088.0957459515803
0x1DFDea1D6a258EAb9fD1c1Ea65f19F47B41D9b83,5956258926107338083966,3031.302417043178
0xB25fc39dECCC85448f1B18CE02EAF53f88c001C5,5918567422766686831892,3012.1201842698997
0x31738Dac34244088cE78284DB1074e03DB6F1743,5860308928647136781365,2982.4708496407716
0xE60dABFf3E7Fa76Ed649F6f78C51D6A77729C0B2,5834565430671852482192,2969.369282263709
0x56119b3331E9Bc83cB35d4f4F4b813FD9dD6f67C,5777342165942149222246,2940.2468040709055
0xBAdCbe6dDB24cCDcd1E4A38850FEA4d5C311BC09,5719824849193362751976,2910.974674795562
0xADb1dcabFcdd8E60457E4c856214F471cd41b178,5626287151866515159782,2863.370792642502
0x68c3B7A0822a5DD9a44C3168fBF76292201Ab266,5565573766492489085067,2832.4720969822984
0x32ABEf56B03ECC94eacd59c2eE10ed5C4032b9dA,5494328231473873529467,2796.213303470344
0xEB51a5913706167CFDBa64A3823AEB05ce788F99,5431909576382009618101,2764.4467495988843
0xc9307f3aDEf2d20E60b1857309D8D5f641aCa3C9,5360980034272266493645,2728.3487734859573
0x98EA384236444389098AAb508Dfefe40876944b4,5349743681592002758407,2722.6302875267356
0xB322ae3644714B38c490757B8C5aC331585097D5,5296372992601461191953,2695.468490072437
0x5d8D9668ff0a655486027c97111c14a99316Eb42,5294310797581953920599,2694.4189828524522
0xa2D434Ae20faabC6e06bB290Fd7166baBB8Eb9C2,5290395756723350132233,2692.426511913103
0xFe3A4b302D0529bCC0aeEb14BFBfE112B9cfF471,5224241874095062485139,2658.758999000098
0xAEC109dCd8521d4e12a7eC04532CBf9eCaFFcC52,5199594794396317411156,2646.215428750594
0xcdA528D8dF68f9E44728248a4F4c0872207771bb,5168537991799378687574,2630.409775916213
0x0A2DC605275f6b39d82261D27ae59793c5Ce9A2B,5120904750282245913695,2606.1679217702167
0x398627cfAE9863aa66581C041EaCe79d308c81e3,5095230966821060064831,2593.1018340084147
0x958c90647B2e6d1Fcb714886435Ab84391Fcd15a,5008471876847076600825,2548.947769787691
