walletAddress,amount,points
0x20a14196e20d190F83580d2D21F46adcb5201173,418357218022339569870383,28874210.397396848
0xC4f6D7C26564006e91A3dBcCAcF8d1EA6aE0969B,393371952288007771130651,27149775.42037335
0x08f894ff28C5A09D57D5fB2775e67a344b32d0cf,326871241636866761837155,22560024.29812805
0x4e607323e1cc32a211C86d649241EcD36B91DAEE,319312638305434840731323,22038344.036618672
0x2C755f2eA1BCBaFA03b2C16310F1462706caaFdc,292239658772109658457339,20169819.069307346
0xA1F667AFC5A6f37674cb12Ce4B4a1ab0A9DF8a51,175053529693922813748941,12081857.870369958
0xcca4DFC0ffEBC1571115385d5b15A188ac42c7c6,142999629901155858533457,9869559.368509267
0x4A6bD8ADcCDaE1241bfC7c3CE84146eF53Fe00CE,139137396676874341210350,9602995.461117174
0xcf264831CeFd380a1384f7780B359570D4BcAfE2,128637684951845993055031,8878325.55606896
0x6F84565e29f4eD9aEADA72D5e8498e7E210C7dB5,95798674762576527427882,6611840.24495239
0x0A939456BA7e612744Ac9C8bC337AbE5A789b78c,95268503146303177345544,6575248.81988419
0x926f231a080c1FF7E3c749A3463E837112F88a4E,14299962990115604043240,986955.936850928
0xc00Df6f5D704B7A3F1DDc97c9DED17fd9330d4C0,13913739667687415931141,960299.5461117162
0x67D4EC047131A078502Ee72f0Bb75a88273672bD,12863768495184605853865,887832.5556068965
0xDeBb5Fa0c9D5a521D24C533bEaD1FA66f054aAb3,9579867476257644739235,661184.0244952384
0x730771a2bBaf10FA05905Cb278B3C0eE45e2B59e,9526850314630317370757,657524.8819884191
0xa22D705a9E26ead95884A8302dD6A69966FaF19F,861363963384113276334,59449.68375365867
0xd80052001B9F9F8D018dA9e0e07C0100dB157343,657857282502428688531,45404.04412341358
0x21712e6BEF156aaD8937DF7f0A4D1CD8888AEDeE,584336472468413262504,40329.77924627251
0x1B921FfF55439b6891aE3EBEB0199189a3CC6496,493384527196185842968,34052.45094712844
0xd9Bb5D58De4f5aA604993f086DE57063fb5c1B3a,477143416810148323748,32931.52075118103
0xDa8155F0347047754b5ae32cdc7cb5af548dee71,460973615243309495781,31815.512152758496
0xc9C9077be44B06fF3Ce957D72149C65128F14331,447362674096714044936,30876.111178081406
0x8096744C07A3a2f3FF66cD2Fc204cB55bD7443ea,411015681909952547812,28367.511697775437
0xfbf14434935C2FbFF62B5e7505841cA7AB441672,352570184036113175807,24333.715865669743
0xA324c4c502b266Aa9253E8a74c701a6661F8C24E,325287625941582518863,22450.72618922865
0x5C9dE63470D0D6d8103f7c83F1Be4F55998706FC,318959034671050801535,22013.938993998032
0xbb86d5181780EBF2dfb9fEc6a57b675155523527,287119492086817388099,19816.43501431304
