walletAddress,amount,points
0x8Ca94E0A2DDd4E87C0f318A9Ba8f2c90D5446b22,346050450177729595452547,8605600.899738872
0x5Eb461c8BBceDB56Eb542542B306dFc3c38b29C1,325020559135584393516183,8082628.456903594
0x9fbAAAda5424DC446a69744f11552639B56ED81D,317154733196235087234527,7887020.681372343
0x4b03ED7381f6F5d0088826768eE6d6C8D14472F8,299204671906525443773717,7440637.607731612
0xbf80747dfF1b349bf113Ab53B17886c96a4d942e,253505213320812006713822,6304181.0542989755
0x3CD22ee2C997B4D488272bf08E141ae5df33d2d7,252507950796343124238774,6279381.077089186
0xA1F667AFC5A6f37674cb12Ce4B4a1ab0A9DF8a51,179344500993529014522210,4459948.537331673
0x02024b3055dDE60c0D2dC852964d9fd47a1C65F4,123815976986497335019521,3079062.265082471
0x5048a19Ad7803369190AdFdd8D61cc99866C044F,108821745907647302374244,2706184.9334772876
0x37183551E3F3bc9eF92B610d30b14169cE988C2c,105524845301441673655063,2624197.434808983
0x5389D07873f17caEd51bd98065B4724518194fbA,93130847876834450289607,2315982.8512597275
0x89140D2809046d1882993a947A1D6b64057ee451,85424429498406519996934,2124339.2313855076
0x5d8Ee5f1FCb866bDc4aEcC3692AF7C822194505C,29564473505749418109190,735210.8909863129
0xc00Df6f5D704B7A3F1DDc97c9DED17fd9330d4C0,12381597698649731682963,307906.2265082471
0x730771a2bBaf10FA05905Cb278B3C0eE45e2B59e,10882174590764727327041,270618.4933477287
0x926f231a080c1FF7E3c749A3463E837112F88a4E,10552484530144178279443,262419.74348089856
0x67D4EC047131A078502Ee72f0Bb75a88273672bD,9313084787683446847950,231598.28512597285
0xDeBb5Fa0c9D5a521D24C533bEaD1FA66f054aAb3,8542442949840651635895,212433.92313855077
0x255d297864377bD4F4BEf1c7a55453F986E5201F,6662829640527330411715,165691.5999383342
0x219895b55A5b88d6a32D48Ba28793CD8010d6Ee6,2661606418894308717427,66188.969213662
0xE78B0891F111e2Fd5613688246238F1972adbF7a,1717515844548122686319,42711.27487211196
0x3A7921214F2142f6043d6Eff344A1dA9496ba886,1215166690334647910277,30218.829532820357
0x98Fcf2Ecd0Ca94846e578107183B46706c9c8C89,1077269193005256056495,26789.587274993275
0xf22B3f64b377271BA34294810528E80739BcA781,977647428094909173524,24312.18795559997
0x68E285d68543C1Cc040fAe92ab875FD628247E0f,720728726959408049879,17923.120105765112
0xbb86d5181780EBF2dfb9fEc6a57b675155523527,673515297121366756983,16749.014035146414
0xdbd7832D8248b732bF061e210668312420fF76df,657850343031955389961,16359.457128235957
0x33DC6F8eD0Dc691aF7d0c63A87721fE877e01b7A,657839937570063284511,16359.198364659218
0x56F257E40b9382A0699249F888747056E950904B,603696690727418058486,15012.761238209738
0x69FD2e71FD7AdbAF2f62fA26672235953D93492F,581670208880425207099,14465.00552252374
0x8096744C07A3a2f3FF66cD2Fc204cB55bD7443ea,536244289747035622895,13335.351362660664
0x35B8A836b1fd65894456BAD58BB5245CC370cc93,518517177286985315732,12894.512592309025
0x18171f0dBcACfC96E6694C492eE153fd339EA513,449181111392871287080,11170.259638046748
0xDa8155F0347047754b5ae32cdc7cb5af548dee71,437321980236281490306,10875.34613714289
0xDf9a709C649634AE724D5A26634c1425a28930C3,411255453918893010723,10227.122381864498
0x6699ef93Ed3bE59426ec9370B14FcE9a270AC556,399342863269646500157,9930.879447469453
0xfbf14434935C2FbFF62B5e7505841cA7AB441672,379483797671241973148,9437.023153701219
0x50e3d3F437FcAaF8F729ba08b7166657ba720143,375901419037382652277,9347.936372340548
0x17D4C4915Fd8DF505C12c3d3237D1A5c8e6b9Eb0,335756976677154170829,8349.622256241963
0x17e5757321Cb0A15D3020A3a3F0C46272f81e3dF,328639731792892007434,8172.630233985637
0xB71B91b004CAC3d8cbA99E185B94e87d3Ed0daf3,318071641324041138432,7909.822401195486
0xFB9e5F5874565A6eF8FCF1DEbc4975501331a8Ca,314214676701292830785,7813.907200938596
0x54726A396a28FbC98CB50AC1a4fB2e6dC2225912,311293793238954265234,7741.270516493818
0x45FaBb434124AFAA123EEEe19CeA29b5E0e3dD0b,304238644876015257523,7565.82271381442
0x6869E132Fc9e75B68a58e35e8B8F539bA6cCF107,289367189686502399582,7195.99857951964
0xFf2F1e53003329fD8499cF3dE164bB03bC615F0d,257129021713783174619,6394.298113100713
0x123Ee8AEa12d0D0F33Da0fC9A38FBa958C6B0dCB,256281992698305543854,6373.234150739283
0xeEED2e4c442708C19A99b9F27090b861d1396f14,253747804188089787658,6310.21381681855
0x7f39a32FA19AA022f846f5aA7cC3Bdf81285485b,251764988335131960184,6260.90504730397
0x4045270C481395140A215DB7dAf172f717E91064,244676968917596013853,6084.639805500105
0xbD579422F0508f763b7AB522A8d2FBD22F5794A4,235657009954905987570,5860.330988895281
0xCa3DfAd2f5b498C1777B3B37336678CD29e0918b,222347946023473809873,5529.360483050854
0x6C7116d0b65dC3de4aD07137D10C7B02aDf91389,209419121174639229821,5207.845782825629
0x2d733999962A3D0A5B9332210C7011e961126eEE,189203639837502407772,4705.126123613594
0x23B311cf3b36f5500635fd6589c15A7025F80C62,183026474342225071723,4551.5120453290765
0xE5d4E9Cd4BC63C2039bCE62564fCAa2A94e2613e,182840445785647176535,4546.885877343912
0xFB469065221657cfADe9dC62f6b2E147d1dfa82a,178817344970575277330,4446.839193468362
0xe3c5Ec83635D51c105c9C2184eb7B6B98e1C66a1,163812416064361968893,4073.6958277264357
0xBc525c94D5EDD2AbA3D5fbf64B5039e795b8d00F,154752412029737598687,3848.391168154521
0xfF2809D9C8b61862415332842346B22c5B1320D1,142054548165890594191,3532.6200179209013
0xd46774D7316394d3A59B4537bDD22BDd8f1eE6Bd,140467454070684539147,3493.1520780102296
0x41477AD5c0Fa869322C040f327089Bd9aa030522,136632424150646954786,3397.78235110061
0x0967462E71b5263e5c604bFcE2C58406518a30be,134113423743314029934,3335.1397157257584
0xd82caB6EF8818c3D298657227352c6688cE9Ccc7,131794646922208045225,3277.476251084245
0x8B10B07FD5da4b30E3E3BE369AE7B5bF51c92F96,129186113964105601326,3212.607115500934
0x96Bb3675d08D5c3F743d533157Fc2F0Df3E29E0A,128499352378882605308,3195.5286920726
0xa797A4e0b9189a7454819F6561553b65ae932AEe,124407168222053797990,3093.76404
0xC76Ae0148E14e17560242728FD85D49775583d1E,116450524628216527390,2895.8978062330425
0xCA6C597822af51210920eA02e2A681878036e4a3,113617959985724695571,2825.457438871934
0x7fd4bF7c4805167a9842477e3Cd6D5e3429c81fe,108611773333629955118,2700.9633243998937
0xF3230707D2e544251831C3FFc92F098bC93C0bD9,106095814131250293144,2638.396317870688
0xDb83B73314c87c015EE8B8Ac908cF0F197Cd9d98,103287697813949932879,2568.563932753662
0x10192C2D739090758eE90Ac85E1C868FD3F2B82c,101261190586958591098,2518.168643838513
0xbDFf0Dda40938bEb464AfD85bF57640160259ee3,100333166148659230998,2495.0904830180116
0x7b29C3F7648e825a774A89463a35AD1b5895C490,98845712056569695392,2458.100395975409
0x8dD474B2472A2D46e88fc51Da118b3A54C35D5b6,98402219868076315379,2447.071608772949
0x66b8DA1b31152BEc662CA3Eb645ee48c4920689F,95393126350156180138,2372.241312
0xfc8ED9f0622A98847A829AAd5401A711d2A2B8eD,92800503248395855849,2307.7678235657745
0xEaB774B40ba39159B2e9520b4e473894ceC8138f,90659938905733739034,2254.536156264948
0x327e1f6d286DBa5928e5515Fd9121801CA54Caa0,78512343595371589799,1952.4491135264504
0x8c3De1634251D1e51C28844391FC9c11abB9F5E4,71930226728064482700,1788.7646831019476
0x9C7B84BE5D69BB41a718A4aF921E44730a277F90,71358841756628777375,1774.5554514082482
0x4A4BD61a45A132116b96a980E6B62d2100938ACB,70604667952101905826,1755.8006173444212
0x0C8AA570a1dfEEE5258F3c13e2e967da24Bbb505,66569667193707246611,1655.4580050488605
0x6a1389C3Fd848E7acDc3cd91e8b6eC82ca7ec5D8,65568279347993168926,1630.5554391321316
0xD3eA092ff6552Fb2A2b7eff00D3C46A380Ca064c,61973918836321900017,1541.1706918002387
