walletAddress,amount,points
0x4E4b2936abf73BED0C3a845AEc42403825d2Ce89,226433770172169257421046,17423599.64475544
0x3ad69408964d6ef137722FeE3303691638F13F17,164750214331592462258413,12677180.500588303
0x10C246B0B46e1903E143B4d98beb320e5E5d5927,155782129593350546201691,11987105.349957904
0x983A0b1C9579d18481F3034e3e8e21d1c6a6b19c,155030479063896957086399,11929267.43166502
0x15468A60889549b0F7A542C99FbAE163AeAFCaf6,153344823027589241974056,11799559.765299445
0x9622C57f1632051Cb8D62B8C217b17B70FC417c6,150056000747393787605688,11546491.847606309
0x710De16cE75e37520926AB0af1Ac83414D5D1AB8,143116497534250462194905,11012511.754321776
0x35B5Cc2049314A6856F461451e5DA022f892Cd8E,141105291401712456718087,10857753.69667969
0xFf619215b9e15ED01DF3b61333a36759f5Bd607E,138964534338854136876762,10693026.968985474
0xE59Ae546be3EC390FB9B9fD553Aa6B913fD8C4bC,138867049535918165929615,10685525.719606847
0xA1F667AFC5A6f37674cb12Ce4B4a1ab0A9DF8a51,138019440840673487400636,10620304.023434373
0x137a020e4e8Fd372c3F12c7F680d83BBd0CA28cE,134420664801056118449196,10343385.819591569
0x3Bf754553A2589067D8C863417D837430556Bb4B,133638829778366896789521,10283225.268392745
0x2Eff9DDE86c825D654950DCac942e7f2ED98ff34,90484291293670685263351,6962574.815768898
0x2474901856622974631122Ddf87CFD263A0674cb,65571319266155405784957,5045574.316071486
0x3B9cDE5d72C7DCbc68151ECcfDA589D8E7d5fee7,64667953797282432788052,4976062.254109299
0xb028537E4ed68325F493B13FEB54eaFcb7054e5a,63241227862627980357502,4866278.711357229
0x87939dE6BA7e6f89F2DD5d5Fff915B40B94c8cFb,60045280455265485215932,4620357.318672569
0x90FFaF2ee921a855098131AFfE2fB856df64044C,56525637270610452105757,4349528.220631261
0x6224c7c6641C67612cBB76376242F62D70E293D8,54681320578057129750960,4207611.952378716
0x0581C88880fC55D60326Bee760A9C07AEC90699D,45388971787150054296944,3492585.3688038075
0x3C8d5FB3d2f5F688ffAc48eD930dB0658b9502B3,43322239091345138149336,3333554.659572359
0x8BBaa7CD01741b29dA42116ae0553C6844791242,43199550169241854746360,3324114.006537483
0xb2248F86D27398dC01BbF7d51bE2a4f745dc5811,29788600656412221724167,2292169.809389229
0xA1f1A742C8eB32d7AaBeF30654d88E258E3F7eD1,18096858258734140690649,1392514.96315378
0xA9E30f028601608B4129cd6AA3c636c88141bc9C,13114263853231075700023,1009114.8632142968
0x2692653637Cc0dB5D9b80E5404467736B4774F9A,12933590759456481464440,995212.4508218595
0xDdA41785d24cda28bE2897FD49f0Bd5D9e5E539c,12648245572525600437075,973255.7422714462
0x827086F9388E61371D75C6065e8944ADF54A89f5,12009056091053102136357,924071.4637345142
0x3370ACe86856e0B22227Ff73B5a9289416146651,11305127454122079143417,869905.6441262513
0xfe9bab8eed2CfCD5F2E7D532875054Ae09fF694D,10936264115611440502107,841522.3904757444
0x792a2631e4b801e22d30D991639FdAFc099Af6f7,8664447818269027266069,666710.9319144718
0x67dE2F403ed7C74AeD06D1283a227C77f2690a8E,8639910033848365856102,664822.8013074964
0x073E48DE7e3a9f0b730559f23482b83396C6Df9E,5957720131282445436227,458433.9618778459
0x04860549D3C32FC86f5BF12b20a5e1dC5F78cF26,2044355054324325919879,157308.79705441277
0x896930E77cdF937b26aD5fA0f8E5957616F496e2,1351588707895745983478,104001.89208898415
0xF2AfEfE2E8D47c904D9dbd80fcC4118008B9C582,1210181397331450625643,93120.8986565977
0x54b92c745Db373A61af89A65Ac8725ACaA134412,1141052311714394136288,87801.5617454833
0x91F83E3d6C37908454687517E748555E7ad0fe53,648200752419814762106,49877.676775
0xE496FF96f62A871de4F4BDb14b4c5E21d9eAcee0,543566651111516307537,41826.30400936361
0xA6f62c5961cAb80AB1E9e87100d6de96Da502a06,531576791578809888961,40903.70968018784
0x41C3c2e086fB0CC0D482735112c19b89c636dE60,427159692013333597060,32869.03473964297
0x3a872D4CDdBbCBc73464933B27E7Bd87069631a2,413492476422364404698,31817.371409855445
0x37130086691ae900e7ba22936937c31c8164788F,359312060317509121887,27648.30299713824
0x437bf54b982B433F2d5c1c00213cced09d77E7BD,356495716914232673389,27431.591329600637
0x9A53038d1d0bacDC835903CE48DEA6Ec104D9580,337284401818749415725,25953.321270243174
0x4D5BFeE161BdcA9Ce4Cc3653D141F89C9321Ae7E,285739301757796908987,21987.03485268265
0x7b29C3F7648e825a774A89463a35AD1b5895C490,274235158731404510490,21101.815381243123
0x3b85776871498050D6f197b08289a76478555A47,270369173243022885345,20804.335975539732
0x9096fee54bA254F89580644561A5E1e2b98E2212,268010502943206859072,20622.841285208327
0x5c703F5131bB3268E0dC32913a3c0994eda215Fe,261977676720478712014,20158.628068463873
0xabE9ae9cDB87771C2a3fC43311e46309FC684Fd6,259582231422168149493,19974.3036197876
0x33DC6F8eD0Dc691aF7d0c63A87721fE877e01b7A,251394813943736977535,19344.299163472668
0xDa8155F0347047754b5ae32cdc7cb5af548dee71,249054194408811298445,19164.193441317224
