walletAddress,amount,points
0x9379D767b9Ec67C262Ad3C86903D70243C323EBC,102770034792429651133716,14862099.62967658
0x9491a38EBE26c88d5BD8C996793A459f9A31F7A8,99732427818278578342870,14422815.770555427
0x27F23e2979315D5d0C06E4BB0af027dcb9203aBD,99415821374928709701635,14377029.695713991
0x97F6d36B2C7E48Beb89db600631ba7ef9c994977,98901689243717148201540,14302678.422287673
0x6069c5D2bd51866FedE4763e675576e172D57935,98364212117820075945929,14224951.109945234
0xf69450294bd67063697d27E69A8C96240236f367,94225950115128754987381,13626495.905547135
0xee12EB939b5cECf117886d5B539db26ba5Ec215B,90031773096642922610044,13019954.545128834
0x15468A60889549b0F7A542C99FbAE163AeAFCaf6,82150363317499795812182,11880183.622636544
0x34E693154Bba636D489645e56331Ad6f84f2b9dF,80616011018678487744182,11658293.099993795
0xBE4d3d7BDA0eB5154beB6dE81c0de87EC8Cd3087,80542141120469066663645,11647610.396722944
0x9F0C279c55C3B9B0205f2E4C529385A8172C95e2,80292487572854137397371,11611506.722095907
0xAD1cbff1FFc1864deFC5887636a26081dA73736e,79269403778854059055448,11463553.349241188
0x5c8E972FdeF152fb8DeBeC67635F7C5E429d2721,75721823163444554666057,10950519.597165342
0x52591078424ba150A307d70EeCd0b34597CC29B1,74596625616051678662188,10787799.032886107
0x60435473b8a744F9bAfdaCbeA3f821e8952444Fd,74449984923039082787000,10766592.57330166
0x514ee4e472f24b9Eae0c4963EDD746f77C601D48,74348961298880487447605,10751983.031033542
0x3fBBE9E11fAF82669c019df2Ce13B106e769A5C5,73968850109201448503882,10697013.210474709
0x6433Cfa969Ce3df9758F0a1De9097B6f7f6f184a,73967319223087382852100,10696791.821214747
0x6E12325f7033dd9Aa83F90298953192FcC7c4245,73785805743075994541869,10670542.22978951
0xb1432AFAd469456A858e9a7A15a120c21C52726C,73625976610436453483999,10647428.522590606
0xA1F667AFC5A6f37674cb12Ce4B4a1ab0A9DF8a51,72871308806649714824744,10538292.15701633
0x288Ad7c21E0c307a0d9E168Cd3e2700Bbbb631Dd,72781415906140100560151,10525292.285545303
